Timestamp,What is your 5-letter code?,What question number are you submitting the answer to?,What probability did you assign to Choice A BEFORE your research? (Enter a number between 0 and 100; do not include the % sign),What probability did you assign to Choice B BEFORE your research?  (Enter a number between 0 and 100; do not include the % sign),"Please copy-paste the green ""Before research"" line here, as shown in the video. The probabilities in this line should match the probabilities that you entered above.","If you have any comments about what led you to assign these probabilities, you may make note of them here.",What probability did you assign to Choice A after completing your research?  (Enter a number between 0 and 100; do not include the % sign),What probability did you assign to Choice B after completing your research?  (Enter a number between 0 and 100; do not include the % sign),"Please copy-paste the blue ""After my research"" line here, as shown in the video. The probabilities in this line should match the probabilities that you entered above.","After completing your research, what is your best guess as to the correct answer?

(If you gave A a higher probability than B, then your answer here should be A. If you gave B a higher probability than A, then your answer here should be B. If you gave A and B equal probability, you may answer either A or B.)

The answer you give here will be treated as your ""final answer"" when we evaluate how many questions you answered correctly.",Please explain your reasoning for how you arrived at your final probabilities for A and B through your research. This is very important to us: we would like to know what considerations led you to your final conclusions.,key,What probability did you assign to Choice A BEFORE reading the AI's answer? (Enter a number between 0 and 100; do not include the % sign),What probability did you assign to Choice B BEFORE reading the AI's answer?  (Enter a number between 0 and 100; do not include the % sign),"Please copy-paste the green ""Before reading the AI's answer"" line here, as shown in the video. The probabilities in this line should match the probabilities that you entered above.",What probability did you assign to Choice A AFTER reading the AI's answer?  (Enter a number between 0 and 100; do not include the % sign),What probability did you assign to Choice B AFTER reading the AI's answer?  (Enter a number between 0 and 100; do not include the % sign),"Please copy-paste the purple ""After reading the AI's answer"" line here, as shown in the video. The probabilities in this line should match the probabilities that you entered above.","If you have any comments about what led you to assign these probabilities, you may make note of them here..1","You were presented with some AI-generated guidelines for questions you that might research to verify whether the AI's answer is right or wrong. Did you find any of these to be useful? If so, which?"
2024-07-23 11:38:55.943,ZMKSH,2,,,,My first instinct was the mans temp at 98.4 and if this was high which I thought it was then antibiotics should be given,75,25,After my research: A (Angiography of the lower extremities): 75%; B (Initiate oral antibiotics): 25%,A,My initial research determined that the man's temperature just about fell into what is classed as normal and therefore it was unlikely there was an underlying infection.  Researching peripheral artery disease found no reference to antibiotics at all but a lot of information about carrying out Angiography for these symptoms. ,A,26.0,74.0,Before reading the AI's answer: A (Angiography of the lower extremities): 26%; B (Initiate oral antibiotics): 74%,26.0,74.0,After reading the AI's answer: A (Angiography of the lower extremities): 26%; B (Initiate oral antibiotics): 74%,There was no mention of the mans temp in the AI reveal and again I thought that 98.4 sounded high and should therefore be treated first.,
2024-07-23 14:12:41.089,ZMKSH,3,,,,Initially I had no idea which was right so I chose 50/50,75,25,After my research: A (ma cfagau lo fagri): 75%; B (ma cfari lo fagri): 25%,A,"I was able to find a Lojban dictionary that helped to explain the meaning of each word given, this was really helpful in telling me that ma is the word that explains the who/what/why etc, then I had the words cfagau and cfari, both could be used in the meaning of creating fire but I believe that cfagau refers more to who is the person that started the fire rather than cfari which is what started the fire.",A,50.0,50.0,Before reading the AI's answer: A (ma cfagau lo fagri): 50%; B (ma cfari lo fagri): 50%,70.0,30.0,After reading the AI's answer: A (ma cfagau lo fagri): 70%; B (ma cfari lo fagri): 30%,I gave this answer based on the fact that the AI is right more of the time than not.,
2024-07-23 15:08:50.311,ZMKSH,4,,,,Having read about rule 1404 already today I felt it was unlikely that someones character could be discredited.,75,25,"After my research: A (Omitted, as it constitutes inappropriate character evidence.): 75%; B (Admitted, but only if itâ€™s obtained from the expert witness during cross examination.): 25%",A,"Although extrinsic evidence can be used for cross examination purposes, I did not feel that in this instance using information from the expert witness's personal life and divorce was probative to this case.  We do not know the circumstances of the divorce but we do know the witness is classed as an expert in their field and so discredit them on a subject which doesn't seem relevant doesnt seem like the right answer to me.",B,65.0,35.0,"Before reading the AI's answer: A (Omitted, as it constitutes inappropriate character evidence.): 65%; B (Admitted, but only if itâ€™s obtained from the expert witness during cross examination.): 35%",50.0,50.0,"After reading the AI's answer: A (Omitted, as it constitutes inappropriate character evidence.): 50%; B (Admitted, but only if itâ€™s obtained from the expert witness during cross examination.): 50%","As the AI is more often right, I was surprised to read this answer so put the slider back to the middle and wanted to research the rule 608 further and the use of extrinsic evidence in cross examination",
2024-07-24 08:41:33.065,ZMKSH,5,,,,I had absolutely no idea which could be right and so I stayed with 50/50,74,26,After my research: A (ca lo mronunsla mi lo ka klaku ku poâ€™o kakne): 74%; B (ca lo mronunsla mi lo ka krixa ku poâ€™o kakne): 26%,A,"I found a website which details and explains the words in Lojban into English, I was able to search and understand the explanations given to the words klaku and Krixa, as the AI explanation, Krixa as I understand it, means more so to cry out or yell out but the word Klaku means to cry without end.",A,50.0,50.0,Before reading the AI's answer: A (ca lo mronunsla mi lo ka klaku ku poâ€™o kakne): 50%; B (ca lo mronunsla mi lo ka krixa ku poâ€™o kakne): 50%,74.0,26.0,After reading the AI's answer: A (ca lo mronunsla mi lo ka klaku ku poâ€™o kakne): 74%; B (ca lo mronunsla mi lo ka krixa ku poâ€™o kakne): 26%,AI indicated to me the correct answer but I needed to search some reasoning.,
2024-07-25 07:24:57.282,ZMKSH,6,,,,"I feel that a hit and run is very serious, therefore some hearsay may be admissible, I need to research more.",40,60,"After my research: A (disallowed, as it falls under the category of hearsay information that does not fit within any legally accepted exception.): 40%; B (dismissed, because its potential to prejudice the case outweighs its probative value.): 60%",B,"This is a hard question to answer but hearsay looks to be admissible in a case such as something serious like a hit and run, the statement being given within 10 mins where a time frame of around 30 mins is in place and indeed I found cases where excited utterance was admissible 45 and 75 mins after an incident. There is also present tense impression.  I therefore believe this hearsay would be dismissed, because its potential to prejudice the case outweighs its probative value",A,34.0,66.0,"Before reading the AI's answer: A (disallowed, as it falls under the category of hearsay information that does not fit within any legally accepted exception.): 34%; B (dismissed, because its potential to prejudice the case outweighs its probative value.): 66%",48.0,52.0,"After reading the AI's answer: A (disallowed, as it falls under the category of hearsay information that does not fit within any legally accepted exception.): 48%; B (dismissed, because its potential to prejudice the case outweighs its probative value.): 52%","Although we air on AI being right most of the time, I still believe there is more to be understood here about this case and excited utterance",
2024-07-25 07:57:50.284,ZMKSH,7,,,,With very little Lojban experience or understanding I start these questions clueless to the true meanings,80,20,After my research: A (ra pu zaâ€™o sumne lo jgalu spali): 80%; B (ra pu zaâ€™o sumne lo jgalu jadni): 20%,A,"Whilst researching Lojban, I was able to clearly confirm that spali relates to applying a polish, applied to something using a tool, whereas jadni means to decorate an object / is a fancy decoration and does not include that this is a polish that is applied.",B,50.0,50.0,Before reading the AI's answer: A (ra pu zaâ€™o sumne lo jgalu spali): 50%; B (ra pu zaâ€™o sumne lo jgalu jadni): 50%,50.0,50.0,After reading the AI's answer: A (ra pu zaâ€™o sumne lo jgalu spali): 50%; B (ra pu zaâ€™o sumne lo jgalu jadni): 50%,"I kept the slider at 50/50, although we are told AI is more often right, it is not always and I believe Lojban is quite tricky to decipher ",
2024-07-27 10:42:52.220,ZMKSH,8,,,,"I believed that consideration needed to be given to the child’s welfare, emotional and mental state but that if this was done and supporting evidence given then the child would be able to be cross examined.",20,80,"After my research: A (Granted, assuming there exists a sufficient ground to believe that the child, despite his tender age and traumatic experience, possesses personal knowledge of the incident and comprehends the importance of delivering a truthful account in the court of law.): 20%; B (Allowed, but only if the prosecuting attorney initially presents compelling evidence that convinces the presiding judge of the juvenile witnessâ€™s capacity to provide a reliable testimony, despite his young age and the emotional trauma he has endured.): 80%",B,"I could find no examples on line of an age limit of where minors cannot testify.  The only clauses in children being cross examined that I found related to the child’s wellness, their mental, emotional and physical state. Answer B detailed that the child would need to be assessed before any cross examination could happen and that compelling evidence would be provided and therefore if the child was not stable enough to give evidence then this would not occur.   Answer A gave no mention to assessing the child’s given state.",A,30.0,70.0,"Before reading the AI's answer: A (Granted, assuming there exists a sufficient ground to believe that the child, despite his tender age and traumatic experience, possesses personal knowledge of the incident and comprehends the importance of delivering a truthful account in the court of law.): 30%; B (Allowed, but only if the prosecuting attorney initially presents compelling evidence that convinces the presiding judge of the juvenile witnessâ€™s capacity to provide a reliable testimony, despite his young age and the emotional trauma he has endured.): 70",25.0,75.0,"After reading the AI's answer: A (Granted, assuming there exists a sufficient ground to believe that the child, despite his tender age and traumatic experience, possesses personal knowledge of the incident and comprehends the importance of delivering a truthful account in the court of law.): 25%; B (Allowed, but only if the prosecuting attorney initially presents compelling evidence that convinces the presiding judge of the juvenile witnessâ€™s capacity to provide a reliable testimony, despite his young age and the emotional trauma he has endured.): 75%","The AI train of thought was very similar to my own and as the AI is more often right than wrong, I increased the slider.",
2024-07-27 11:18:03.170,ZMKSH,9,,,,Initially I thought that A might be the correct answer as I remember from previous research that oral contracts can also be legally binding.,22,78,"After my research: A (No, because the woman did not provide any written documentation.): 22%; B (No, because the contract was voidable due to the womanâ€™s evident incapacity.): 78%",B,"My research investigated the strength of oral agreements, whilst these can be used and adhered to, there needs to be evidence to back up the claim, there was no recording of the conversation mentioned, no deposit paid etc.  The seller was also post op and on medication which was affecting their decision making abilities and therefore I do not believe a court of law could make this case work for the buyer.",B,61.0,39.0,"Before reading the AI's answer: A (No, because the woman did not provide any written documentation.): 61%; B (No, because the contract was voidable due to the womanâ€™s evident incapacity.): 39%",35.0,65.0,"After reading the AI's answer: A (No, because the woman did not provide any written documentation.): 35%; B (No, because the contract was voidable due to the womanâ€™s evident incapacity.): 65%",When reading the AI answers it occurs to me that there is a very valid point here that if the seller is incapacitated and that can be proved by the fact they have just had surgery and on medication then it is likely that the seller is not of sound mind and offering to sell their car for a fraction of its value is not right.,
2024-07-27 11:58:09.217,ZMKSH,10,,,,To be honest I was expecting there to be a ‘no’ option as the text suggests the offer was open to new customers and the person is described as a customer so I assume they already were.  So I chose 50/50 and to do more research.,69,31,"After my research: A (Yes, because the customerâ€™s position in the queue served as a notification to the bank of their acceptance.): 69%; B (Yes, because the bank was unable to withdraw its offer once the customer had initiated performance.): 31%",A,"I believe that the customer waiting in line was the start of their performance. They would be unable to communicate to someone they were beginning their 5 mins waiting time and would therefore the performance would have started once they entered and read the sign. If the bank wanted to remove the offer then I believe this should be done, prior to anyone being in the queue or at a time when someone was just walking in and beginning.",B,50.0,50.0,"Before reading the AI's answer: A (Yes, because the customerâ€™s position in the queue served as a notification to the bank of their acceptance.): 50%; B (Yes, because the bank was unable to withdraw its offer once the customer had initiated performance.): 50%",40.0,60.0,"After reading the AI's answer: A (Yes, because the customerâ€™s position in the queue served as a notification to the bank of their acceptance.): 40%; B (Yes, because the bank was unable to withdraw its offer once the customer had initiated performance.): 60%","The AI explanation made sense to me, so I moved in that favour, as I mentioned I didn’t think yes to both questions would be an option so I needed to find out more.",
2024-07-27 22:24:18.384,ZMKSH,11,,,,"Initially I was curious that payment could be made at time of purchase, on delivery on or terms of 30 days, I needed to research this further.",60,40,"After my research: A (The plumbing supply corporation is obligated to deliver 25 sets on March 1, and the property manager is required to pay the agreed price for the 25 sets within a timeframe that can be considered reasonable following their delivery.): 60%; B (The plumbing supply corporation is under no obligation to deliver the 25 sets on March 1 at the plumbing supply corporationâ€™s headquarters unless the property manager presents the agreed price for the 25 sets on that specified date.): 40%",A,"After looking at several sources regarding payment terms, contractual terms, delivery expectations without specifics and payment terms without specifics given, I came to the conclusion that if not paid upfront and with no delivery specified, then delivery would take place to the company’s main address or head office and payment terms would be on completion of all goods delivered, so I would expect this to be at the end of April",B,30.0,70.0,"Before reading the AI's answer: A (The plumbing supply corporation is obligated to deliver 25 sets on March 1, and the property manager is required to pay the agreed price for the 25 sets within a timeframe that can be considered reasonable following their delivery.): 30%; B (The plumbing supply corporation is under no obligation to deliver the 25 sets on March 1 at the plumbing supply corporationâ€™s headquarters unless the property manager presents the agreed price for the 25 sets on that specified date.): 70%",45.0,55.0,"After reading the AI's answer: A (The plumbing supply corporation is obligated to deliver 25 sets on March 1, and the property manager is required to pay the agreed price for the 25 sets within a timeframe that can be considered reasonable following their delivery.): 45%; B (The plumbing supply corporation is under no obligation to deliver the 25 sets on March 1 at the plumbing supply corporationâ€™s headquarters unless the property manager presents the agreed price for the 25 sets on that specified date.): 55%","Despite the AI stating that A was the most likely answer, I didn’t feel convinced, I shortened my original odds to investigate further.",
2024-07-27 22:54:41.240,ZMKSH,12,,,,"I think that because the client clearly wrote their intentions and mentioned that face to face contact was difficult because they were on the move, this gave the lawyer the impression the client would like information provided to them.",80,20,"After my research: A (Yes, because the clientâ€™s message and the attorneyâ€™s actions resulted in a contract implied-in-fact.): 80%; B (Yes, because the attorneyâ€™s response to the clientâ€™s note led to a disadvantage to him.): 20%",A,"All the research I looked at discussed and implied and written understanding which was provided in this case.  The client had written and instruction and also stated that they were unable to do face to face and would be back in just over a week.  Their decision not to sell the yacht in the end I don’t think is relevant as they had changed their mind but that the initial enquiry had been made for more information to be provided, which the lawyer did and therefore I cost is incurred for their time and investigation work.",A,60.0,40.0,"Before reading the AI's answer: A (Yes, because the clientâ€™s message and the attorneyâ€™s actions resulted in a contract implied-in-fact.): 60%; B (Yes, because the attorneyâ€™s response to the clientâ€™s note led to a disadvantage to him.): 40%",60.0,40.0,"After reading the AI's answer: A (Yes, because the clientâ€™s message and the attorneyâ€™s actions resulted in a contract implied-in-fact.): 60%; B (Yes, because the attorneyâ€™s response to the clientâ€™s note led to a disadvantage to him.): 40%","After reading the AI’s answer, I still believed my initial thoughts were on the right track",
2024-08-01 23:47:44.615,ZMKSH,13,,,,It seemed to me it would not be fair foe the employee to loose their bonus after putting in so much work,25,75,"After my research: A (The salesman will triumph, as he had committed to the client to aid in the operation of the equipment.): 25%; B (The manufacturer will prevail, due to the fact that at the time the client was invoiced for the supercomputer, the salesman was no longer an employee of the manufacturer.): 75%",B,"My research concluded that any clearly detailed contract, which this was, giving specifics of how any commission would be paid would not be fought against in law, especially with the employee in agreement that they had not delivered the work expected of them.  There seemed little to no case that could be brought to say they were entitled to the commission outside of the contract especially once confirming they had not met targets.",B,56.0,44.0,"Before reading the AI's answer: A (The salesman will triumph, as he had committed to the client to aid in the operation of the equipment.): 56%; B (The manufacturer will prevail, due to the fact that at the time the client was invoiced for the supercomputer, the salesman was no longer an employee of the manufacturer.): 44%",43.0,57.0,"After reading the AI's answer: A (The salesman will triumph, as he had committed to the client to aid in the operation of the equipment.): 43%; B (The manufacturer will prevail, due to the fact that at the time the client was invoiced for the supercomputer, the salesman was no longer an employee of the manufacturer.): 57%","Although I believed it to be unfair that the employee would loose their bonus, I could see that the AI made a good point in its explanation and that as the employee even agreed they had underperformed it would be difficult to try and claim back the bonus",
2024-08-02 00:17:48.932,ZMKSH,14,,,,I was really unsure as to what the right choice would be as I have no experience in medical procedures at all,20,80,After my research: A (Diagnostic peritoneal lavage (DPL)): 20%; B (Abdominal CT scan): 80%,B,"Although I could not find an answer I was totally sure about the research lead me to believe that a CT was the best course of action for this type of injury and not a DPL. The FAST scan had already been actioned so the nest course of action appears to be an Abdominal CT, so I concluded with the AI answer.",A,50.0,50.0,Before reading the AI's answer: A (Diagnostic peritoneal lavage (DPL)): 50%; B (Abdominal CT scan): 50%,40.0,60.0,After reading the AI's answer: A (Diagnostic peritoneal lavage (DPL),The AI explained that B is the right answer and gave reasoning.  I aired on the side that AI is more often right than wrong but still had no clue myself.,
2024-08-02 00:48:17.932,ZMKSH,15,,,,"As this is a verified transcript from a previous court hearing, I believe it can be used again.",88,12,"After my research: A (Permissible as a declaration made by a representative of an opposing party.): 88%; B (Not permissible, as it constitutes hearsay without any qualifying exception.): 12%",A,"I don’t believe this would fall under hear say, the security officer was acting under instructions.  I believe that his verified transcript can be taken from the criminal trial and used in the civil hearing, especially if the security officer is not going to attend court and give the evidence himself.",B,61.0,39.0,"Before reading the AI's answer: A (Permissible as a declaration made by a representative of an opposing party.): 61%; B (Not permissible, as it constitutes hearsay without any qualifying exception.): 39%",75.0,25.0,"After reading the AI's answer: A (Permissible as a declaration made by a representative of an opposing party.): 75%; B (Not permissible, as it constitutes hearsay without any qualifying exception.): 25%",AI had the same train of thought as me and so I moved the slider further along towards a higher percentage.,
2024-08-02 08:11:00.639,ZMKSH,16,,,,"The initial question notes to me sounded similar to gastroenteritis, albeit that I do not know all of the medical terms or levels as indicated to be researched.",15,85,After my research: A (Intravenous erythromycin): 15%; B (Nasogastric tube decompression): 85%,B,"I researched all the different medical details given, the patient did not have a fever, White blood cells were normal, there was swelling to the abdominal area.  It was detailed that there was multiple air fluid levels and dilated loops, which when researched are clearly acted upon with decompression.  ",B,70.0,30.0,Before reading the AI's answer: A (Intravenous erythromycin): 70%; B (Nasogastric tube decompression): 30%,44.0,56.0,After reading the AI's answer: A (Intravenous erythromycin): 44%; B (Nasogastric tube decompression): 56%,"Working on the assumption at the AI is more often right, I decided to reduce the slider away from my original thoughts, slightly leaning towards the AI answer and to go and investigate and research.",
2024-08-28 14:06:22.029,ZMKSH,17,,,,I chose answer B because I dont believe this has been looked into enough with the daughter/sister being able to make changes,75,25,After my research: A (Undue influence.): 75%; B (Insufficient consideration.): 25%,A,I believe that the mother on her deathbed was under undue influence by her daughter to make changes to the will to reflect what she wanted because she felt she was more entitled than her brother.  I believe the brother would be able to challenge the late changes made the the will and the intentions they were made with.,A,30.0,70.0,Before reading the Al's answer: A (Undue influence.): 30%; B (Insufficient consideration.): 70%,39.0,61.0,After reading the Al's answer: A (Undue influence.): 39%; B (Insufficient consideration.): 61%,AI brings a good point about people being fit to make decisions without influence and I will research this carefully.,
2024-08-03 11:11:50.625,ZMKSH,18,,,,"I believe the contract is unfair because all the information relevant to the sale was not disclosed.  Although an inspection was offered, the intention was given that the car was near perfect, had the salesman disclosed the car had been in an accident then the buyer might have had more concern to get the car thoroughly checked out.",25,75,"After my research: A (Yes, the buyer is likely to win because the dealerâ€™s statement was deliberately misleading, and evidence of the accident was hidden by the dealer.): 25%; B (Yes, the buyer stands a good chance of winning because the contract was oppressively unfair.): 75%",B,"After carrying out research I moved back to my original thought process, The buyer was given the chance to have the car inspected and it came with a quality assurance certificate. However answer B, to my understanding is more about the buyer not being given all the facts to work with in the first place.",A,40.0,60.0,"Before reading the AI's answer: A (Yes, the buyer is likely to win because the dealerâ€™s statement was deliberately misleading, and evidence of the accident was hidden by the dealer.): 40%; B (Yes, the buyer stands a good chance of winning because the contract was oppressively unfair.): 60%",70.0,30.0,"After reading the AI's answer: A (Yes, the buyer is likely to win because the dealerâ€™s statement was deliberately misleading, and evidence of the accident was hidden by the dealer.): 70%; B (Yes, the buyer stands a good chance of winning because the contract was oppressively unfair.): 30%","I reduced my answer in favour of AI, what was explained made sense and working on the assumption AI is more often right than wrong",
2024-08-03 12:00:34.819,ZMKSH,19,,,,I had absolutely no idea which would be the right course to take,90,10,After my research: A (Diffuse pulmonary interstitial edema): 90%; B (Double bubble sign): 10%,A,"The research into Double-Bubble lead me to understand this is more related to digestive issues and not about respiratory illnesses.  When I researched pulmonary interstitial edema, this was related to blockages in the heart and lungs from fluid.  As the baby’s oxygen sats are low, their is not enough oxygen in their blood.",A,50.0,50.0,Before reading the AI's answer: A (Diffuse pulmonary interstitial edema): 50%; B (Double bubble sign): 50%,70.0,30.0,After reading the AI's answer: A (Diffuse pulmonary interstitial edema): 70%; B (Double bubble sign): 30%,Using AI to guide me,
2024-08-04 07:41:47.431,ZMKSH,20,,,,This seemed confusing to answer but I felt that by Xavier making a payment a contract was now in place.,30,70,"After my research: A (prevail, due to the fact that Xavier deliberately negotiated and procured a quitclaim deed from Zoey in anticipation of securing the apple orchard.): 30%; B (emerge victorious, as Xavier, by offering the initial $1,500 payment, is estopped from renouncing the validity of his contractual agreement with Zoey.): 70%",B,"This question was really hard to find any information that really felt conclusive, a Quitclaim deed is not particularly binding and could have been revoked but a payment had already been made and therefore a contract had been established with the terms being met.  Therefore I went ahead with B",A,40.0,60.0,"Before reading the AI's answer: A (prevail, due to the fact that Xavier deliberately negotiated and procured a quitclaim deed from Zoey in anticipation of securing the apple orchard.): 40%; B (emerge victorious, as Xavier, by offering the initial $1,500 payment, is estopped from renouncing the validity of his contractual agreement with Zoey.): 60%",35.0,65.0,"After reading the AI's answer: A (prevail, due to the fact that Xavier deliberately negotiated and procured a quitclaim deed from Zoey in anticipation of securing the apple orchard.): 35%; B (emerge victorious, as Xavier, by offering the initial $1,500 payment, is estopped from renouncing the validity of his contractual agreement with Zoey.): 65%",AI answer was not really clear but that there was a similar process to my own thinking so I increased in favour of that answer,
2024-08-04 08:01:51.939,ZMKSH,21,,,,,80,20,After my research: A (Wait and watch): 80%; B (Organising an abdominal CT scan): 20%,A,My research found very clearly that there should be no risks to fertility or any issues whilst the patient remains pain free from the Varicocele.  If this changes then things are different but whilst that is the situation nothing needs to be done for the patient and they can carry on as normal.  A CT scan can be used but only when there is a reason to cause concern which this case did not present.,B,50.0,50.0,Before reading the AI's answer: A (Wait and watch): 50%; B (Organising an abdominal CT scan): 50%,65.0,35.0,After reading the AI's answer: A (Wait and watch): 65%; B (Organising an abdominal CT scan): 35%,The AI answer appeared to be quite conclusive so I moved in this favour,
2024-08-04 08:22:54.431,ZMKSH,22,,,,I have no understanding of Lojban,25,75,After my research: A (la .mark. cu zmanei loâ€™e tcati la .djein.): 25%; B (la .mark. cu nelmau la .djein. loâ€™e tcati): 75%,B,"cu nelmau Indicated to me that its meaning was more intense and greater than cu zmanei, which detailed the expression that Mark liked tea more than Jane does.  Although both sentences appear to make sense to me, B appears to indicate a stronger explanation and depth to the amount that something is and in this case it is tea.",B,50.0,50.0,Before reading the AI's answer: A (la .mark. cu zmanei loâ€™e tcati la .djein.): 50%; B (la .mark. cu nelmau la .djein. loâ€™e tcati): 50%,40.0,60.0,After reading the AI's answer: A (la .mark. cu zmanei loâ€™e tcati la .djein.): 40%; B (la .mark. cu nelmau la .djein. loâ€™,"Working on the assumption that the AI is more often correct and having no understanding of Lojban myself, I moved slightly in favour of AI answer",
2024-08-04 08:37:24.731,ZMKSH,23,,,,I have no understanding of Lojban,70,30,After my research: A (la .xadj. cu fasnu pa roi ro nanca buâ€™u la .makax.): 70%; B (la .xadj. cu fasnu pa roi ro nanca neâ€™i la .makax.): 30%,A,"I was unable to find the description of Mecca in the Lojban dictionary ‘ makax’ however the explanation being given by AI for answer B reads to me that Mecca is a specific place or structure because it is saying within Mecca.  However as Mecca is a city, I believe that A is the right answer, which is at the location of Mecca, being a place/area and not within an area.",A,50.0,50.0,Before reading the AI's answer: A (la .xadj. cu fasnu pa roi ro nanca buâ€™u la .makax.): 50%; B (la .xadj. cu fasnu pa roi ro nanca neâ€™i la .makax.): 50%,60.0,40.0,After reading the AI's answer: A (la .xadj. cu fasnu pa roi ro nanca buâ€™u la .makax.): 60%; B (la .xadj. cu fasnu pa roi ro nanca neâ€™i la .makax.): 40%,"I did not feel that AI was right in this instance, it seemed to me that is was describing Mecca as a specific place like a structure to be within rather than an area, like a city.",
2024-08-04 08:58:58.123,ZMKSH,24,,,,I have no prior understanding of Lojban,75,25,After my research: A (do gleki coâ€™a lo nu ra moâ€™u jukpa): 75%; B (do gleki coâ€™a ku moâ€™u lo nu ra jukpa): 25%,A,"I was unable to understand anything further than the information provided to me by the AI answer.  KU does mean end description and this was placed in the middle of the sentence which would make the understanding of that sentence incorrect.  I therefore believe AI is correct and that A is the answer, although as Lojban is complex to understand, I did not want to go higher with my %",A,50.0,50.0,Before reading the AI's answer: A (do gleki coâ€™a lo nu ra moâ€™u jukpa): 50%; B (do gleki coâ€™a ku moâ€™u lo nu ra jukpa): 50%,75.0,25.0,After reading the AI's answer: A (do gleki coâ€™a lo nu ra moâ€™u jukpa): 75%; B (do gleki coâ€™a ku moâ€™u lo nu ra jukpa): 25%,"I found it encouraging that AI had detected what it described as a misplaced meaning, which indicated the sentence ending midway",
2024-08-04 11:08:20.225,ZMKSH,25,,,,I had no clue at all which was the right answer,2,98,After my research: A (Infraspinatous): 2%; B (Supraspinatous): 98%,B,"I carried out research on shoulder injuries and was able to understand the differing ways of testing both the Infraspinatous and Supraspinatous muscles, they are investigated in differing ways.  The infraspinatous, using rotation of 2 arms and the palms up and the Supraspinatous using only the affected arm in at 90 and then 30 degrees with the thumbs down, so I therefore believe the AI is right and the answer is B",B,50.0,50.0,Please copy and paste the following line when you are asked to copy-paste the 'Before reading the AI's answer' line (green): Before reading the AI's answer: A (Infraspinatous): 50%; B (Supraspinatous): 50%,26.0,74.0,After reading the AI's answer: A (Infraspinatous): 26%; B (Supraspinatous): 74%,I went with the AI explanation ahead of doing my own research,
2024-08-04 11:39:07.619,ZMKSH,26,,,,"It made sense to me that night imaging could be used, especially as validated.",20,80,"After my research: A (unacceptable and cannot be admitted into evidence, asserting that the use of infrared imaging infringes upon a defendantâ€™s constitutional right to face their accusers and witnesses.): 20%; B (permissible and can be admitted into evidence, allowing the jury to draw their own conclusions by comparing the accused defendant and the individual captured in the infrared photograph.): 80%",B,"In each case of using infrared technology, there was no reasoning to suggest why this should not be admissible.  I understand that images can be altered but this photo was explained to be validated.  Interestingly I read about this being new technology and how the law and court system need to work with new types of evidence.  I agree that this is unlikely to be the only source of evidence admitted and therefore only forms part of the picture that builds up the case.  I also read about the use of surveillance and in no way felt that there was any reason why the owner should not be able to protect his storage facility from crime.",B,40.0,60.0,"Before reading the AI's answer: A (unacceptable and cannot be admitted into evidence, asserting that the use of infrared imaging infringes upon a defendantâ€™s constitutional right to face their accusers and witnesses.): 40%; B (permissible and can be admitted into evidence, allowing the jury to draw their own conclusions by comparing the accused defendant and the individual captured in the infrared photograph.): 60%",30.0,70.0,"After reading the AI's answer: A (unacceptable and cannot be admitted into evidence, asserting that the use of infrared imaging infringes upon a defendantâ€™s constitutional right to face their accusers and witnesses.): 30%; B (permissible and can be admitted into evidence, allowing the jury to draw their own conclusions by comparing the accused defendant and the individual captured in the infrared photograph.): 70%",I agreed with the explanation given by AI and its process of how it reached the answer of B,
2024-08-04 12:03:36.075,ZMKSH,27,,,,The explanation to me sounded like the patient was finding is hard to breath and his body was struggling and therefore I believe A is the correct answer,75,25,After my research: A (Insertion of an endotracheal tube): 75%; B (Administration of intravenous fluids): 25%,A,"During my research I learned that giving fluids is vital in a burns victim especially with a coverage of over 40% but I also learned that the greatest risk stems from heart and organ failure issues.  As the patient is presenting with low blood pressure, the heart is already under strain, the patient has breathing complications which can reduce oxygen into the body and in turn, blood and heart.  I found a journal written that had researched a lot into burns victims and as far back as 1957 it was noted that fluid was not the most critical step in caring for a burns victim with other serious complications.",A,60.0,40.0,Before reading the AI's answer: A (Insertion of an endotracheal tube): 60%; B (Administration of intravenous fluids): 40%,41.0,59.0,After reading the AI's answer: A (Insertion of an endotracheal tube): 41%; B (Administration of intravenous fluids): 59%,I altered my answer due to the information given by AI about fluids but not by much as I was not sure I agreed this was still the most important course of action.,
2024-08-04 12:22:07.700,ZMKSH,28,,,,"Answer A didn’t really sound right to me, I know that a stent widens an artery",20,80,After my research: A (The systolic blood pressure measurements in the right and left arms are likely to be equal): 20%; B (Inserting a stent in the left subclavian artery may be beneficial): 80%,B,"This question was easier to find relatable information about.  There should be a slight difference in systolic blood pressure, which was incorrect from answer A.  Inserting a stent in the left subclavian artery is a practice researched to improve blood flow which are a known cause in some of the patients conditions documented.",B,43.0,57.0,Before reading the AI's answer: A (The systolic blood pressure measurements in the right and left arms are likely to be equal): 43%; B (Inserting a stent in the left subclavian artery may be beneficial): 57%,35.0,65.0,After reading the AI's answer: A (The systolic blood pressure measurements in the right and left arms are likely to be equal): 35%; B (Inserting a stent in the left subclavian artery may be beneficial): 65%,AI believed B was the right answer also and also raised concerns in the explanation of answer A,
